method,query_idx,label_group,AP@5,n_relevant,Precision@1,Recall@1,Precision@3,Recall@3,Precision@5,Recall@5,Precision@10,Recall@10
StrongFusion_global_crop_text_light_crop_phash_strong,30673,3041742389,0.5,1,0.0,0.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30674,447873549,1.0,7,1.0,0.14285714285714285,1.0,0.42857142857142855,1.0,0.7142857142857143,0.7,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30675,3454163332,0.6666666666666666,3,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.4,0.6666666666666666,0.3,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30676,41822316,0.6666666666666666,3,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.4,0.6666666666666666,0.3,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30677,579273273,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
StrongFusion_global_crop_text_light_crop_phash_strong,30678,3602574057,1.0,2,1.0,0.5,0.6666666666666666,1.0,0.4,1.0,0.2,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30679,4204571891,0.8,6,1.0,0.16666666666666666,1.0,0.5,0.8,0.6666666666666666,0.4,0.6666666666666666
StrongFusion_global_crop_text_light_crop_phash_strong,30680,4044205497,1.0,6,1.0,0.16666666666666666,1.0,0.5,1.0,0.8333333333333334,0.6,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30681,1218216866,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30682,1163569239,1.0,50,1.0,0.02,1.0,0.06,1.0,0.1,1.0,0.2
StrongFusion_global_crop_text_light_crop_phash_strong,30683,2176913327,1.0,6,1.0,0.16666666666666666,1.0,0.5,1.0,0.8333333333333334,0.5,0.8333333333333334
StrongFusion_global_crop_text_light_crop_phash_strong,30684,4256358936,1.0,1,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30685,159351600,0.42000000000000004,50,1.0,0.02,0.3333333333333333,0.02,0.6,0.06,0.8,0.16
StrongFusion_global_crop_text_light_crop_phash_strong,30686,3727661484,1.0,1,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30687,3101340758,0.75,4,1.0,0.25,1.0,0.75,0.6,0.75,0.4,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30688,3587331575,0.5,1,0.0,0.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30689,3420770588,1.0,3,1.0,0.3333333333333333,1.0,1.0,0.6,1.0,0.3,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30690,2284373882,0.6666666666666666,3,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.4,0.6666666666666666,0.3,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30691,3134042463,1.0,1,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30692,562358068,0.71,50,1.0,0.02,0.6666666666666666,0.04,0.8,0.08,0.7,0.14
StrongFusion_global_crop_text_light_crop_phash_strong,30693,632405015,0.5,1,0.0,0.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30694,3690371528,0.8666666666666667,3,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6,1.0,0.3,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30695,2536222341,0.5,3,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.6666666666666666,0.3,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30696,3199640280,1.0,4,1.0,0.25,1.0,0.75,0.8,1.0,0.4,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30697,2470970076,1.0,1,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30698,2906760846,1.0,2,1.0,0.5,0.6666666666666666,1.0,0.4,1.0,0.2,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30699,3924088631,1.0,11,1.0,0.09090909090909091,1.0,0.2727272727272727,1.0,0.45454545454545453,0.7,0.6363636363636364
StrongFusion_global_crop_text_light_crop_phash_strong,30700,2725797685,1.0,1,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30701,4018561560,1.0,16,1.0,0.0625,1.0,0.1875,1.0,0.3125,0.9,0.5625
StrongFusion_global_crop_text_light_crop_phash_strong,30702,2501717191,0.125,2,0.0,0.0,0.0,0.0,0.2,0.5,0.2,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30703,596811522,1.0,12,1.0,0.08333333333333333,1.0,0.25,1.0,0.4166666666666667,1.0,0.8333333333333334
StrongFusion_global_crop_text_light_crop_phash_strong,30704,2575632685,1.0,5,1.0,0.2,1.0,0.6,1.0,1.0,0.5,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30705,2747810392,1.0,1,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30706,2565533507,0.8,7,1.0,0.14285714285714285,1.0,0.42857142857142855,0.8,0.5714285714285714,0.6,0.8571428571428571
StrongFusion_global_crop_text_light_crop_phash_strong,30707,1285119273,0.52,19,1.0,0.05263157894736842,0.6666666666666666,0.10526315789473684,0.6,0.15789473684210525,0.6,0.3157894736842105
StrongFusion_global_crop_text_light_crop_phash_strong,30708,191946414,0.76,7,1.0,0.14285714285714285,1.0,0.42857142857142855,0.8,0.5714285714285714,0.7,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30709,523744895,1.0,3,1.0,0.3333333333333333,1.0,1.0,0.6,1.0,0.3,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30710,2713674743,1.0,2,1.0,0.5,0.6666666666666666,1.0,0.4,1.0,0.2,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30711,3814390525,1.0,8,1.0,0.125,1.0,0.375,1.0,0.625,0.8,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30712,2537215415,1.0,1,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30713,165128572,0.25,2,0.0,0.0,0.3333333333333333,0.5,0.2,0.5,0.2,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30714,2094330878,1.0,6,1.0,0.16666666666666666,1.0,0.5,1.0,0.8333333333333334,0.5,0.8333333333333334
StrongFusion_global_crop_text_light_crop_phash_strong,30715,1746756468,0.3333333333333333,6,1.0,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.4,0.3333333333333333,0.4,0.6666666666666666
StrongFusion_global_crop_text_light_crop_phash_strong,30716,1380846061,1.0,1,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30717,3853135440,1.0,14,1.0,0.07142857142857142,1.0,0.21428571428571427,1.0,0.35714285714285715,1.0,0.7142857142857143
StrongFusion_global_crop_text_light_crop_phash_strong,30718,2750367044,1.0,2,1.0,0.5,0.6666666666666666,1.0,0.4,1.0,0.2,1.0
StrongFusion_global_crop_text_light_crop_phash_strong,30719,1963142010,1.0,11,1.0,0.09090909090909091,1.0,0.2727272727272727,1.0,0.45454545454545453,1.0,0.9090909090909091
